****Dialogues from script :Pianist.txt****

the pianist		 by Ronald Harwood  based on the published memoir by Wladyslaw Szpilman
caroline		Mom loves Aunt Sara. But at Christmas, last year, she wouldn't let Les leave them in a room together 'cause she said there would be a "yule tide homicide."
tyler		That's because Aunt Sara drinks... You don't drink, right?
caroline		Duh.
tyler		So why would anyone wanna avoid you?
caroline		Michael used to drink.
tyler		Yeah. He did. But Michael was 21. All 21 year olds drink because it's new and exciting. Aunt Sara drinks
aidan		What about Atlantic City for your birthday this year? Get a suite. Couple of ladies. You could call Toothbrush Girl, what do you think?
tyler		I think I'd rather be sodomized.
aidan		Hey, it's your day.
aidan		What's the point? How do you know where anything is in this place, anyway? There's like...
tyler		I don't expect you to appreciate this, but the schematic for this particular shelf is authors who were sleeping together...
aidan		No shit?
tyler		And ended up dead or in prison.
aidan		This is why chicks dig you.
aidan		Seriously. They like this freaky poetic crap. I ran into Megan yesterday. She's bartending at Don Hill's tonight. She wants us to stop by. She practically begged me.
tyler		Eh.
tyler		Hey!
aidan		Hey nothing. You've been a ghost the past couple weeks. You never wanna go out. I'm feeling unappreciated here. 
tyler		You realize interventions typically discourage binge drinking?
aidan		One drink. Come out for one drink.
tyler		When's the last time you had one drink?
aidan		Hey, Megan!
aidan		You look great! Can I get two Heinekens?
megan		Do. Not. Speak.
aidan		 Is she mad at me or something?
tyler		No no. Girls are like that when they're way into you.
aidan		Oh.
aidan		Well, hello...
aidan		My pleasure...
aidan		Thanks. You've met my roommate...
megan		I hope you die.
tyler		She's all over you. Cheers.
aidan		I love this street. I love this city. Where are you guys from, again?
aidan's girl		Miami.
aidan		Miami. Miami, Barcelona, Rio. New York is it, man. God broke the mold when he made this city.
tyler		You ever actually been to any of those places?
aidan		What's your point?
aidan's girl		What are we doing? I'm freezing.
aidan		Shoulda worn a jacket. Like me.
aidan's girl		 Asshole.
aidan's girl		Are you coming?
tyler's girl		 Hold on, Lauren.
neanderthal driver		My problem? Keep your hands off my car, asshole.
neanderthal driver		I'm from Queens, faggot
tyler's girl		So we were thinking we could go...
aidan		 God damn it.
craig		Cut those two loose.
leo		 Take a walk.
craig		Anything in here that's going to stab me, Einstein?
craig		Nice. You like to get high and hit women?
craig		How about you two?
craig		Shut up, genius.
craig		Alright. That's it. Everybody goes downtown.
tyler		It wasn't them.
aidan		 Tyler...
leo		 Take a walk, I said.
tyler		Hey!
tyler		They didn't do anything. They didn't start this. Those assholes did. Why do these guys have to go downtown?
craig		What are you still doing here?
tyler		This is bullshit. It was those gorillas who started this.
craig		Well, Mr. Roth. What makes you think I give a shit?
tyler		You're a police officer. You're supposed to.
craig		It's a great relief to me, Mr. Roth, to know that you're on top of the situation. Now go the fuck home.
tyler		How about you do your job?
escorting officer		You can have your call now.
tyler		I'm good.
aidan		You're good? Thank God you're good.
aidan		What are you trying to do? What did you want from that cop guy?
tyler		That was a messed up situation. Those guys...
tyler		...Are pussies!
tyler		There was no justice in that situation.
aidan		No justice. Okay, Green Hornet ... Lantern ... Asshole. 
tyler		Did you just say "nihilistic"?
aidan		Yeah. I got it off a cereal box.
escorting officer		Roth, Brewer.
aidan		Yeah, I called your dad's office. Sue me.
ally		So when would that be available?...No, that's sooner than I'd thought. And is there any kind of deposit?.. Okay.
ally		I'll call you back. Thanks.
ally		What did you tell me you were going to do when things got tight?
craig		Breathe.
ally		Did you?
craig		I did. I'm breathing right now. Who was that?
ally		The lady from student housing. We talked about it. Remember?
craig		Sure.
ally		Mrs. Lippman is going to drive me.
craig		I'll drive you.
ally		Mrs. Lippman said she'd do it.
ally		You're exhausted. When you have a stroke I'm going to abandon you on a park bench.
ally		This drive is too long.
the receptionist		You know you can't smoke in here.
tyler		So what's with the ash tray?
the receptionist		It completes the room.
tyler		Tease.
janine		He's ready for you.
janine		You're too skinny. And you smell like french fries and cigarettes.
tyler		Nice to see you too.
janine		You want me to lie?
janine		Try not to give him a heart attack.
tyler		Okay.
tyler		I came to see how much it costs, because I'm giving you the money back.
charles		How much what costs?
tyler		That lawyer.
charles		Ah. That lawyer, Tyler, costs 450 dollars an hour.
tyler		Christ.
charles		Tell me about it.
tyler		I wanted to make sure you understood it wasn't me who called you.
charles		I understand. You could do worse than have a father who bails you out of jail
tyler		I don't want to be bailed out of anything.
tyler		I'll get an invoice from Janine.
tyler		 Hey.
tyler		Excuse us, we're due in surgery.
caroline		What happened to your face?
tyler		Horrible threshing accident.
caroline		You're so retarded.
tyler		Don't mock the afflicted. Here, I brought you something.
tyler		This was my favorite book ever. Michael had it and he hit me over the head with it until I read it. Its about all these God and Goddesses who spend all of their time being jealous and petty and otherwise acting like human beings. The illustrations are amazing.
caroline		Ooh. These are cool. Thanks! Where are we meeting mom?
tyler		Guggenheim. What's up with those girls?
caroline		I just...they think I'm weird. Sometimes I sort of space out.
tyler		When you're drawing?
caroline		Yeah. Other times too. Madamoiselle Fleischman had to snap her fingers at me a lot today. And everybody laughed and they all think I'm a freak of nature.
tyler		Je m'appelle "Freak of Nature."
tyler		Mon dieu, mon soeurette! Je m'appelle "Freak of Nature". Sacre Bleu. French Toast.
caroline		What are you going to tell mom about your face?
tyler		I finally found something I'm good at?
aidan		...I know by every numerical measurement I didn't pass but what I was hoping was that maybe you give me a grade on my trying to pass. My commitment to effort. My commitment to commitment...Since the semester is nearly at it's terminus.
aidan		 I mean... uh... life's only about what we put into it. It's about people. And what they put into it. And I'm -- ah, screw it.
aidan		He's got a daughter.
tyler		Who?
aidan		The cop... The cop who busted your face all up. He's got a daughter. And she's hot! I smell revenge!
tyler		Revenge. What do you want me to do, kidnap her?
aidan		You introduce yourself...go on a few dates...be your charming, gentlemanly self... And then, flip the script.
tyler		What does that mean?
aidan		Screw her brains out and make her call you daddy. Steal her underwear and sell it on ebay. Put her in Clown Shoes, take lewd photos and post them on her high school's home page. I don't know. Be creative.
tyler		You should be incarcerated on general principle.
aidan		Hey. What happened to you was very emasculating. Tell me you don't want to get that asshole and I'll drop it.
tyler		I don't want to get that asshole.
aidan		Just meet her.
tyler		I don't want to meet her.
aidan		She's cute.
tyler		I don't care.
aidan		You're meeting her.
tyler		I'm not meeting her.
tyler		This is one of those moments I'm already regretting.
aidan		She was here yesterday.
tyler		What am I supposed to say to this girl? "Hey doll face, your dad trampled all over my civil liberties, wanna make out?"
aidan		Well don't call her doll face.
aidan		There. The brunette.
tyler		I know her. I mean, I don't know her, but, I've seen her. She's in my global politics class.
aidan		There you go! Something to open with. Now get over there.
aidan		Shazam!
tyler		Excuse me?
tyler		My name's Tyler Roth. I was wondering if I could bother you for a minute?
ally		You're already bothering me.
tyler		Um, I'm doing kind of a sociological experiment...I was hoping you could help me out.
ally		What are you, kidding me?
tyler		No, I... may I ask your name?
ally		Anonymous. It's Greek. It means "you don't have a shot".
tyler		Okay, Anonymous, do you see the guy across the room, pretending to read a text book, looking in this general direction?
ally		Subtle.
tyler		I have this theory that an objective third-party, having no prior contact, would be able to determine how much of an asshole he is just by looking at him.
ally		Ah.
tyler		He's my roommate. And I've witnessed so many glaring examples of assaholic behavior that I'm biased as a subject, but I'm convinced that he has an aura, that people can actually perceive. So, just take a good long look. And tell me what you think?
ally		Who else do you plan on asking?
tyler		No one here. The parameters called only to sample attractive women in their early twenties.
ally		I'm nineteen.
tyler		In their late teens.  Well, look, you typically get something for participating in these things and I've run out of those big foam fingers, so I was thinking maybe I could take you out some night?
