****Dialogues from script :TRON.txt****

fourth draft screenplay by		Charlie Haas April 6, 1981 BLACKNESS
jerry		History is on our side, Ben.  It's no accident that the great explorers were named Hennepin, Nicollet, Marquette.
leland		They were looking for wood.
sylvia		 Oh...
hawk		Joey just called in.  Bernie, the mule, left Canada about an hour ago.
truman		Then stop watching Jacques and let's set a trap for Bernie.
andy		He's coming in on foot.
truman		That's right, Andy.  I guess you're saying there's an awful lot of trails for us to cover.
andy		No, I was thinking what a long hike Bernie has to make.
hawk		 I'll get on it.
laura		 I just wanted to say, "Hello".
ben		You missed the party.  Look at my office.  Come here.
laura		Sure, I'd do a lot more than that for it.
ben		Ssshhhh, your father's in the next office.  You should've seen him get upset at Johnny's party about your photo here.
laura		He's always been jealous of you.  You know that.
bobby		We got to wait till midnight.  But I got plenty here to make it.  And I got plenty of dough...  right here
ed		Hey, Pete.  Can't believe your tank's dry up at the mill.
pete		No...  hell, no.  Just got in the truck, started drivin', looked down at the gauge and saw a big "E" starin' at me.
ed		You know what that Big "E" stands for? Big Ed's Gas Farm.
pete		Yep.  You're right.  That's why I'm here.
ed		What'll it be?
pete		Fill 'er up.
ed		You got it.
pete		I haven't got it yet.
ed		Nice night.
pete		Yep... 
ed		 I did?  I didn't see anything.
pete		Yeah...  look in here.  Look at it from this angle.
ed		I see it.  The inside is your territory.
pete		 Even this heavy work beats being at home with the old ball and chain.
ed		Brother, I hear you talkin'.
laura		 Bobby, I found a leaf.
bobby		Here he comes.
laura		Here he comes.
bobby		 Who sent you?
cliff		Jacques.
laura		That's right.
bobby		I shot him.  Oh, my god, I shot him.
laura		Look at your face.
bobby		This isn't Mike.  Is this Mike?
laura		Bobby...  ssshhhh...  you killed Mike.
bob's voice		I want to kill thru you.
laura		 No.
bob's voice		I want you to kill _for_me_.
laura		No.  Never.  You'll have to kill me.
bob's voice		I want you to kill _for_me_.
bobby		Babe, I'm on my way out to the woods to divvy up the product.  Put this cash in your safety deposit box...  It's ten thousand dollars.
laura		 You killed Mike.
bobby		I'm not going to give you this if you don't stop laughing.  It's not one god damn bit funny.
bobby		 LAXATIVE!
jacoby		Laura, you didn't come and see me today.
laura		 I couldn't it was Johnny Horne's birthday.  I promised I'd be with him.  I told you not to call me here.
jacoby		A little trouble with your parents is the least of your worries and something I am certainly willing to put up with.
laura		I'm not.
jacoby		Did you make me a tape?
laura		I already made you two tapes.
jacoby		Laura, you have to deal with _all_ of this.
laura		I'm dealing with it, Doc.  Big time. Maybe I'll make you a tape tomorrow. Goodnight.
jacoby		Send me a kiss.
leland		Laura, I would like to talk to you.  Is something wrong?
leland		Laura.  What's wrong this morning?
laura		 Stay away from me.
laura		I hate asparagus.
sarah		Sure you do, it's good for you.
laura		Where's Dad?
sarah		Ben asked him to stay late to plan for the Norwegians.
laura		If it's okay with you I'm going to Bobby's to do my homework.
sarah		It's a school night...  back by nine.
laura		Hi, Mrs. Briggs...
betty		Hi, Laura, Bobby's in the basement.
laura		Right where he belongs, right.
laura		 What's up, Bobby?
bobby		Bad news, kid, it was baby laxative.
laura		What was?
bobby		The stuff we got last night.
laura		Baby laxative?  We can't snort baby laxative.
bobby		No shit...  We killed a guy for baby laxative.
laura		What is the world coming to when you kill a guy for baby laxative?
bobby		Don't get funny with me again.
laura		I'm not...  Bobby I'm gonna need some more stuff.  I mean it.  I'm out.
bobby		Yeah, and I'm gonna need that ten thousand dollars back.
laura		Sure, but I can't get it till after school tomorrow.
bobby		Let's ditch this place and party.
laura		Not tonight.  Just give me something to take home to hold me over till tomorrow.
bobby		Why?  Why not?  Where are you goin'?
laura		Bobby, I'm goin' home.  To bed...  my nice warm bed...
bobby		 We can do it right here.
laura		 Bobby...
bobby		You don't want me.  You just want the stuff, don't ya?
laura		 And my little round friends, too.
briggs		 Robert, put out the cigarette.
lucy		 Sheriff Truman?
truman		Yes, Lucy?
lucy		 Mrs. Packard called and said she heard what she thinks could be a prowler outside her house.
truman		Okay, Lucy.  I better get on up there.
lucy's voice		It's probably raccoons which is what it was last week...
truman		 You stay here and monitor the radio.  Let me know right away, if you hear from Hawk.
lucy's voice		And last week I thought of the same
andy		Okay, Sheriff Truman.
lucy's voice		Raccoons remind me of my aunt who lives in Wyoming where they have raccoons, too.
lucy		Maybe I'm alone.  Andy...  where did Andy go?
laura		Good night, Mom.
sarah		Good night, sweetheart.
laura		 James...  Yes, okay...  No, James, I do love you, but...  Okay, I'll meet you in fifteen minutes...
laura		 Go inside...  go inside...
james		What the hell is wrong with you?
laura		That's right.  There's no place left to go is there, James?
james		What do you mean?
laura		You know it and I know it.
james		What is wrong with us?...  We have everything.
laura		Everything, but everything.
james		Oh, Laura.
laura		 "Oh, Laura..."
james		 You always hurt the ones you love.
laura		You mean the ones you pity.
james		Say anything you want...  I know you love me and I love you.
laura		I do love you.  Let's get lost together.
james		What?
laura		When he finds out.
james		What?
laura		Bobby killed a guy.
james		What are you talking about?  Bobby didn't kill anybody.
laura		You want to see...
james		See what?
laura		 Right.  Open your eyes, James.  You don't know me.  Even _Donna_ doesn't know me. Your Laura disappeared...  It's just me now.
laura		The trees...  the trees...
james		 Laura...
laura		 JAMES, I LOVE YOU.
jacques		Right on time, baby.
laura		Buy me a ticket to The Great Went.
jacques		We're on our way, Baby.
laura		Let's go _all_ the way.
laura		 Don't tie me up, tonight.  Don't tie me up.
leo		Bite the bullet, baby.
leo		 Let me have a little of that.
jacques		 Let me have a little of that, baby.
laura		 DADDY...  DADDY...
gerard		Bob, I can hear you singing.
laura		 Are you going to kill me?
leland		DON'T MAKE ME DO IT.
laura		NO, YOU HAVE TO KILL ME.
leland		I always thought you knew it was me.
laura		 KILL ME.
gerard		LET ME IN.  LET ME IN.
nurse		What happened?
medic		I don't know.  Sheriff Truman just brought her in from Glastonbury Grove.
cooper		 Where is the ring?
cooper		That would indicate that it's the future.
cooper		Where am I?  And how can I leave?
annie		My name is Annie.  I've been with Laura and Dale.  The good Dale is in the lodge and he can't leave.  Write it in your diary.
truman		Coop...  Coop...
doc		Cooper are you alright?
cooper		 It struck me as funny, Harry.  Do you understand me, Harry, it struck me as funny.
doc		You are going right back to bed.
cooper		But I haven't brushed my teeth yet.
****Dialogues from script :Twins.txt****

revisions by		 Timothy Harris & Hershel Weingrod  and William Goldman
twins		FADE IN:
werner		 He was sent to an orphanage in Los Angeles. At the same time I brought you here to the island. Julius isn't listening.    His eyes shine.
julius		 I have to find him!
julius		 It was an honor to study under you, Master. Without warning, the Oriental tries to strike Julius in the face with the side of his hand, but Julius blocks the blow.
oriental		 Ahhh, always on guard. You have learned well, Julius-san. Julius gives a last hug to Werner.
julius		 I was just thinking, maybe my brother Vincent is married.
julius		Well, if a woman loved my brother enough to marry him, she might have a sister who'd feel the same way about me. That often  happens with twins, you know. WERNER Julius -- please -- don't get your hopes up. Your brother doesn't even know you exist.
vince		Me, too. I love this new mattress. It's soft but it's hard at the same time. And I love this new clock.
vince		The curtains are the key to the whole thing. They're colorful... they're brilliant... they're... great curtains. CARLA  I think we're going to be very happy here. Suddenly we hear a DOOR downstairs as it OPENS, and a man's voice drifts up the stairs:
vince		 What's he doing back so early?
carla		Be right down, sweetheart! Vince checks his appearance in a dresser mirror, straightens his Armani suit, brushes his hair, pulls it into a fashionable ponytail. He cuts a stylish figure. Noticing an expensive gold lighter on the dresser top, he covertly pockets it.
vince		You're wonderful, Carla. Your husband doesn't deserve to kiss your feet.
vince		 ... 'everything's going my way'... CUT TO:
al		Carla and I figured, since you were always admiring mine, what the hell...
vince		A lighter, just like yours.   I don't know what to say, Al.   I'm all choked up.
vince		A very special stock -- and it was such a sure thing -- I borrowed another 20 grand from the Klane                      * Brothers. CARLA  You borrowed from a loan shark to invest in the stock market? VINCE On margin -- And as of last night I was ten thousand ahead. I'm                        * going to make a fortune -- turn on the T.V. CUT TO:
al		You are having one shitty birthday, Vince.
carla		Don't you think you're doing this too often?
vince		I'm a desperate man.                                    *
al		Level three.   Stall 25. CUT TO:
owner		We're in a recession -- Everything's tough -- you want to try someone else -- no hard feelings. VINCE  Forget it. OWNER You okay, Vince? You seem a little worried.
vince		Me? I laugh myself to sleep every night, and I never sleep alone. I'm doing great! The Owner smiles and turns. Vince continues counting the money, nervous as hell. Now -- CUT TO:
julius		seated in the rear, still in his peasant garb, the bamboo suitcase resting on his lap. He has his headphones on and is singing along to the music, his eyes closed and his head bobbing. JULIUS  'I better wear some boxing gloves, In case some fool might want to fight.'
julius		 Sorry -- I've never heard this music before -- I love it.                             * She sighs, leans over him, fastens his seat belt, while Julius gazes down at her ample cleavage.
stewardess		The captain wants us to buckle our seat belts because we're expecting a little turbulence.
julius		Actually, I'm a horticultural botanist, a mathematician, and a philosopher.
stewardess		Right.    And I'm a brain surgeon.
