****Dialogues from script :White_Squall.txt****

minister		I didn't know Richard Sheldrake personally, but his many friends who knew and worked with him, wanted to make sure that he was returned home, here, to be remembered with his beloved wife...
renard		You even brought the plane for us.  We really couldn't have done it without you.
renard		A man tires of being executed.
renard		But then again...There is no point in living if you can't...feel alive.
colonel akakievich		 Drop your gun.
bond		Keep away, Colonel.
christmas		He is an impostor.  There's no Davidov at Miratom.
bond		Here's your imposter. He's paid off the men on the plane outside.  They're not taking the bomb to any Russian facility, they're flying it wherever he tells them.
colonel akakievich		 I said drop it.
renard		 were you the one who allowed him down?
renard		 You had me.  I knew you couldn't shoulder the responsibility...
colonel akakievich		No -- the bomb does not go anywhere until I am satisfied.  All of you to the surface, now...
renard		 Very well, Colonel. We will all go up.
renard		 Shut them.
christmas		Melt-down doors.  If he gets them closed, they won't be opened again for forty- eight years.
renard		We have our fireworks.  Now you can have yours.
bond		Close the door!  Close the door!
bond		Shame you had to spot I wasn't the real thing.
christmas		So who are you?
bond		Bond --
bond		 James Bond.
christmas		They won't get far. Every warhead has a locator card.  A Miratom device.  Emits a high-pitched signal on Russian emergency frequencies. We can track the bomb.
bond		With this?
tanner		Anywhere in this circle.  Iran, Iraq, Pakistan, Syria, Afghanistan...
moneypenny		Elektra King is calling from Baku.
moneypenny		It's a video line.
elektra		I'm sorry. I would never call you except...Bond's disappeared. He...he left my villa, some time in the middle of the night and...
elektra		My head of security has been found near a local airstrip, murdered...
elektra		Could...could you come?
elektra		I just can't help thinking...I'm next.
elektra		Gabor...?
elektra		James!
bond		You look surprised.
elektra		What's wrong with you?  Are you crazy?
bond		A little. Does it matter? After all, what's the point of living if you can't feel alive?  Isn't that right, Elektra? Isn't that your motto?
elektra		What are you talking about?
bond		Or did you steal it from your old friend Renard?
elektra		...what?
bond		We had a run-in, he and I. He knew about us, he knew about my shoulder, he knew exactly where to hurt me...
elektra		Are you saying...Renard is the man who's trying to kill me?
bond		You can drop the act, it's over.
elektra		I don't know what you're talking about!
bond		I think you do.
bond		At MI-6 we call it Stockholm Syndrome. It's common in kidnappings.  A young impressionable victim. Sheltered, sexually inexperienced. A powerful kidnapper skilled in torture, in manipulation. Something snaps in the victim's mind. The captive falls in love with her captor.
elektra		How dare you!  How dare you! That animal!?  That monster!? He disgusts me! You disgust me!  So he knew where to hurt you, is that it? You had a sling on your arm at the funeral! I didn't have to sleep with you to find that out.
bond		He used your exact words.
elektra		You knew.  You knew all the time, that he was out there, that he was coming for me, and you lied. You used me, you used me as bait. You made love to me -- what, to pass the time as you waited for him to strike?
elektra		He's struck again.  Five men are dead at the pipeline.
bond		I'm coming with you.
elektra		You do what you have to do, but I've called in M.  She's en route from London even now.
bond		They hit about 90 minutes ago. There's a scientist here from the International Decommissioning Agency, Dr. Jones.  She has ten crews combing the area.
tanner		I'll see how they're coming with the power...
bond		The report King bought. It's a manual. Renard's men used it to remove this radio tracking device from the warhead.
bond		They're getting their weapons from the Russians, but where are they getting the money to buy the weapons?  I can't help thinking...the person close to King, the one who switched that pin...
bond		Is maybe...the inside woman.
elektra		That's not right.
tanner		What is it?
elektra		It's an observation and repair rig. Travels along the pipe, checks for broken seals.  But it's not supposed to be there.
bond		 Stop it.
technician		I don't understand...
tanner		It's heading for the oil terminal.
elektra		My God.  Have the terminal evacuated.
bond		 Speed?
technician		Full on.  Seventy miles an hour.
technician		One hundred and six miles from the terminal.
bond		 Any more of these rigs?
technician		There's one parked in the passageway ahead of it.
christmas		I'll need some help...
bond		Come on.
bond		Unless you'd like to see my ID first.
tanner		 Good luck.
bond		Be one along any minute.
bond		When this is over we should bury the hatchet. Celebrate. A champagne dinner?
christmas		When this is over our bodies may be blown to smithereens.
bond		Alright then, brunch.
radio man		Tanner reports Bond is headed for the rendezvous.
elektra		You can evacuate my workers, but I'm not going anywhere.
bond		Faster! Get our speed up!
christmas		Tactical fission device.  Low yield.
christmas		The plutonium is missing.  They've taken the core!
bond		Then it's no longer a bomb?
christmas		 It's a bomb alright. We're still dead if the trigger charge goes off...
bond		Let it blow.
christmas		But we can stop it.
bond		Let it blow.
bond		Trust me.  Leave it.
gabor		It wasn't nuclear...the bomb was a dud. The trigger charge blew out a fifty yard section of pipeline...
gabor		Nothing.
elektra		Do you think he's dead?
elektra		 I have a gift for you.  Something that belonged to my father. He would have wanted you to have it.
elektra		Please.
elektra		He often spoke of how...compassionately you advised him on the best course of action during my kidnapping.
elektra		It's very valuable, you know. I just couldn't let it explode with the rest of him.
elektra		 Take her to the chopper.
christmas		What the hell were you doing?  You nearly killed us!
bond		I did kill us. She thinks we're dead. And she thinks she got away with it.
christmas		What the hell are you talking about?
bond		It's part of some plan. She dresses it up like a terrorist attack.  The explosion covers up the theft of the plutonium.
christmas		Who's she?
bond		Elektra King.
christmas		Elektra King?  Are you insane?  This is her pipeline.
bond		Makes her look even more innocent.
christmas		 What would she want with weapons grade plutonium?
bond		I was hoping you could tell me.
christmas		You steal an old bomb, small by today's standards, about the size of the one that destroyed Nagasaki, take the plutonium core out of it, intending to use it...  To make a bigger, better bomb.
christmas		I have to get after that core.  This is my ass.
tanner		Tanner to 007, do you read?
bond		Loud and clear.  I have to speak to M.
tanner		She's gone.
bond		What?
tanner		She's disappeared.  And two of our men have been killed.
christmas		What is it?
bond		She just upped the stakes. All her chips are on the table now.  And M's life is part of the bet.
bond		I know I promised you champagne, but would you settle for caviar?
elektra		You're hurting me.
elektra		Brought me something?
renard		Go on.  It's safe.  Touch your destiny.
elektra		Warm.
renard		 Is it?
elektra		I've brought something for you as well.
elektra		Just as I promised.
renard		My executioner.
elektra		Your people? Your people will leave you here to rot just like you left me. You and my father. He didn't think my life was worth the chump change he spent on a day at the stock market.
elektra		Is nothing.  His kingdom he stole from my mother. The kingdom I will rightly take back.
renard		No. I'm afraid it is what you did.
renard		When I took her she was...promise itself. So clever, so vibrant, so...full of life force. And you left her there, at the mercy of a man like me. You ruined her. For what?  To get to me? She is worth fifty of me.
renard		No. I wanted you. I wanted you for myself.
renard		Since you sent your man to kill me, I have been watching time tick slowly away, marching inevitably toward my own death. Watch these hands, M. At noon tomorrow, your time is up. And I guarantee you...I will not miss.  You will die. Along with everyone in this city and the future of the West.
zukovsky		What are doing, Bond?  Trying to impress this innocent thing?
bond		She's no innocent.  This is my nuclear consultant.
zukovsky		Ah, I see.  A purely...plutonic relationship.
zukovsky		Really Bond, couldn't you find a nice Russian scientist with hair growing out of his ears?
bond		What's your business with Elektra King?
zukovsky		I thought you were the one in her business.
bond		She dropped a million and half dollars to the House -- your House. And you didn't even bat an eyelid.  She was paying you off.  What for?
zukovsky		As ever you are the spy who has to see a plot wherever he looks.
zukovsky		That is 5,000 dollars of Beluga ruined!
bond		You are out of your league.  She's working with Renard.
christmas		They've stolen a nuclear device.
bond		Tell us what you know, Zukovsky.  Tell us, before its too late.
bond		Now...where were we?
zukovsky		A rope!
bond		No.  The truth!  She thought I was dead -- those blades were meant for you.  What do you know that she would kill you for?
zukovsky		I don't know what you're talking --
zukovsky		Help me, don't let me drown.
bond		 You're in this thing up to your neck.
zukovsky		Alright, alright!  Sometimes I smuggle machinery for her.  Russian stuff.
bond		And the payoff on the tables?
zukovsky		A special job.  A...a...a submarine.
christmas		What?
zukovsky		To haul some cargo. My nephew, he is Captain of a sub in the Black Sea Fleet.
bond		Where's the sub going?!
zukovsky		No!  Get me out!
bond		This is too big for even you.  Where is it?
zukovsky		This is a family matter! If my nephew is in danger, we do it my way, or nothing! Now get me out!
zukovsky		No! Bond!
christmas		 Bond!
christmas		Commander Bond, you are dangerous, unpredictable, and a hothead.
christmas		But then again, explosive devices are my specialty.
zukovsky		So.  My way.  No MI-6, no Interpol.  Just you, me and my people.
bond		Where?
zukovsky		Istanbul.
renard		So beautiful. So smooth, so warm.
